# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab cydrasil-3-ssu-align/cydrasil-3-ssu-align.1/cydrasil-3-ssu-align.1.tab --viterbi /usr/local/share/ssu-align-0.1.1/ssu-align-0p1.cm cydrasil-3-ssu-align/cydrasil-v3-sequence-list.fasta.1
# date:       Fri May 28 22:04:58 2021
# num seqs:   218
# dbsize(Mb): 0.627724
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                                                                      target coord   query coord                         
#                                                                                                            ----------------------  ------------                         
# model name  target name                                                                                         start        stop  start   stop    bit sc   E-value  GC%
# ----------  ---------------------------------------------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     CY-IMG-641250527#g__Acaryochloris.s__marina.str__MBIC11017                                              7        1498      1   1508    769.28         -   55
  archaea     CY-IMG-641250527#g__Acaryochloris.s__marina.str__MBIC11017                                           1298        1290      1   1508      1.76         -   44
  archaea     CY-NCBI-AB112435.1#g__Acaryochloris.s__sp.str__Awaji-1                                                 66        1248      1   1508    676.81         -   54
  archaea     CY-NCBI-AB112435.1#g__Acaryochloris.s__sp.str__Awaji-1                                               1176        1168      1   1508      1.76         -   44
  archaea     CY-IMG-2514737087#g__Acaryochloris.s__sp.str__CCMEE-5410                                                7        1498      1   1508    775.35         -   55
  archaea     CY-IMG-2514737087#g__Acaryochloris.s__sp.str__CCMEE-5410                                             1298        1290      1   1508      1.76         -   44
  archaea     CY-NCBI-EU873540.1#g__Acaryochloris.s__sp.str__HICR111A                                                12        1427      1   1508    725.56         -   55
  archaea     CY-NCBI-EU873540.1#g__Acaryochloris.s__sp.str__HICR111A                                              1259        1251      1   1508      1.76         -   44
  archaea     CY-NCBI-AM710386.1#g__Acaryochloris.s__sp.str__JJ7-5                                                   14        1458      1   1508    721.56         -   55
  archaea     CY-NCBI-AM710386.1#g__Acaryochloris.s__sp.str__JJ7-5                                                  479         457      1   1508      0.52         -   52
  archaea     CY-NCBI-AM710387.1#g__Acaryochloris.s__sp.str__JJ8A6                                                   14        1460      1   1508    746.34         -   56
  archaea     CY-NCBI-AM710387.1#g__Acaryochloris.s__sp.str__JJ8A6                                                  480         458      1   1508      0.52         -   52
  archaea     CY-NCBI-KM995822.1#g__Acaryochloris.s__sp.str__MPGRS1                                                   1        1421      1   1508    738.77         -   55
